"가맹점명",사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
"마마포에버",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 85,,,,,2023-07-10
"보릿골식당",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 123,,,,,2023-07-10
"온컴",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡로 48,,,,,2023-07-10
"쌍용서비스프라자  고창코너",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 고인돌대로 1854,,,,,2023-07-10
"좋은날",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산2길 30,,,,,2023-07-10
"수학카페학원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 136,,,,,2023-07-10
"다온헤어",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산로 19,,,,,2023-07-10
"목화미용실",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 58-1,,,,,2023-07-10
"쌍방울이용원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산3길 13,,,,,2023-07-10
"고창종합샷시",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 208-2,,,,,2023-07-10
"바른학원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡1길 20,,,,,2023-07-10
"다린건강원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 73,,,,,2023-07-10
"다린건강원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 남정7길 18-8,,,,,2023-07-10
"엘요가센터",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중거리당산로 88,,,,,2023-07-10
"가든이용실",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 39,,,,,2023-07-10
